ROIname,ROIID,nVoxels
LH_AMYG,1,245
RH_AMYG,2,279
LH_HIPP,3,469
RH_HIPP,4,502
LH_VisCent_ExStr_1,5,1127
LH_VisCent_ExStr_2,6,765
LH_VisCent_Striate_1,7,835
LH_VisCent_ExStr_3,8,793
LH_VisCent_ExStr_4,9,827
LH_VisCent_ExStr_5,10,787
LH_VisPeri_ExStrInf_1,11,545
LH_VisPeri_ExStrInf_2,12,517
LH_VisPeri_ExStrInf_3,13,163
LH_VisPeri_StriCal_1,14,940
LH_VisPeri_ExStrSup_1,15,339
LH_VisPeri_ExStrSup_2,16,1138
LH_SomMotA_1,17,544
LH_SomMotA_2,18,432
LH_SomMotA_3,19,548
LH_SomMotA_4,20,619
LH_SomMotA_5,21,369
LH_SomMotA_6,22,543
LH_SomMotA_7,23,1090
LH_SomMotA_8,24,290
LH_SomMotB_Aud_1,25,593
LH_SomMotB_Aud_2,26,793
LH_SomMotB_S2_1,27,495
LH_SomMotB_S2_2,28,648
LH_SomMotB_Aud_3,29,576
LH_SomMotB_S2_3,30,386
LH_SomMotB_Cent_1,31,846
LH_SomMotB_Cent_2,32,528
LH_DorsAttnA_TempOcc_1,33,1244
LH_DorsAttnA_TempOcc_2,34,727
LH_DorsAttnA_ParOcc_1,35,711
LH_DorsAttnA_SPL_1,36,569
LH_DorsAttnA_SPL_2,37,614
LH_DorsAttnA_SPL_3,38,328
LH_DorsAttnB_PostC_1,39,526
LH_DorsAttnB_PostC_2,40,408
LH_DorsAttnB_PostC_3,41,369
LH_DorsAttnB_PostC_4,42,629
LH_DorsAttnB_FEF_1,43,750
LH_SalVentAttnA_ParOper_1,44,695
LH_SalVentAttnA_Ins_1,45,706
LH_SalVentAttnA_FrOper_1,46,292
LH_SalVentAttnA_FrOper_2,47,495
LH_SalVentAttnA_ParMed_1,48,631
LH_SalVentAttnA_FrMed_1,49,782
LH_SalVentAttnA_FrMed_2,50,524
LH_SalVentAttnB_IPL_1,51,534
LH_SalVentAttnB_PFCl_1,52,1310
LH_SalVentAttnB_Ins_1,53,469
LH_SalVentAttnB_PFCmp_1,54,607
LH_LimbicB_OFC_1,55,527
LH_LimbicB_OFC_2,56,1329
LH_LimbicA_TempPole_1,57,890
LH_LimbicA_TempPole_2,58,1023
LH_LimbicA_TempPole_3,59,610
LH_LimbicA_TempPole_4,60,370
LH_ContA_Temp_1,61,631
LH_ContA_IPS_1,62,647
LH_ContA_IPS_2,63,430
LH_ContA_IPS_3,64,408
LH_ContA_PFCd_1,65,586
LH_ContA_PFClv_1,66,1260
LH_ContA_PFCl_1,67,829
LH_ContA_PFCl_2,68,414
LH_ContA_PFCl_3,69,671
LH_ContA_Cingm_1,70,164
LH_ContB_Temp_1,71,696
LH_ContB_IPL_1,72,455
LH_ContB_PFCl_1,73,680
LH_ContB_PFClv_1,74,607
LH_ContB_PFClv_2,75,727
LH_ContC_pCun_1,76,527
LH_ContC_pCun_2,77,662
LH_ContC_Cingp_1,78,208
LH_DefaultA_IPL_1,79,1073
LH_DefaultA_PFCd_1,80,861
LH_DefaultA_pCunPCC_1,81,702
LH_DefaultA_pCunPCC_2,82,429
LH_DefaultA_pCunPCC_3,83,588
LH_DefaultA_PFCm_1,84,557
LH_DefaultA_PFCm_2,85,1093
LH_DefaultA_PFCm_3,86,623
LH_DefaultB_Temp_1,87,1237
LH_DefaultB_Temp_2,88,777
LH_DefaultB_Temp_3,89,942
LH_DefaultB_Temp_4,90,787
LH_DefaultB_IPL_1,91,391
LH_DefaultB_PFCd_1,92,1015
LH_DefaultB_PFCd_2,93,730
LH_DefaultB_PFCd_3,94,689
LH_DefaultB_PFCd_4,95,686
LH_DefaultB_PFCv_1,96,585
LH_DefaultB_PFCv_2,97,539
LH_DefaultB_PFCv_3,98,438
LH_DefaultB_PFCv_4,99,842
LH_DefaultC_IPL_1,100,626
LH_DefaultC_Rsp_1,101,539
LH_DefaultC_PHC_1,102,692
LH_TempPar_1,103,806
LH_TempPar_2,104,547
RH_VisCent_ExStr_1,105,1288
RH_VisCent_ExStr_2,106,684
RH_VisCent_Striate_1,107,993
RH_VisCent_ExStr_3,108,1027
RH_VisCent_ExStr_4,109,680
RH_VisCent_ExStr_5,110,1198
RH_VisPeri_ExStrInf_1,111,659
RH_VisPeri_ExStrInf_2,112,377
RH_VisPeri_StriCal_1,113,759
RH_VisPeri_ExStrSup_1,114,385
RH_VisPeri_ExStrSup_2,115,683
RH_VisPeri_ExStrSup_3,116,461
RH_SomMotA_1,117,466
RH_SomMotA_2,118,399
RH_SomMotA_3,119,465
RH_SomMotA_4,120,357
RH_SomMotA_5,121,276
RH_SomMotA_6,122,528
RH_SomMotA_7,123,282
RH_SomMotA_8,124,655
RH_SomMotA_9,125,375
RH_SomMotA_10,126,692
RH_SomMotA_11,127,248
RH_SomMotB_Aud_1,128,602
RH_SomMotB_Aud_2,129,530
RH_SomMotB_S2_1,130,382
RH_SomMotB_S2_2,131,398
RH_SomMotB_S2_3,132,279
RH_SomMotB_S2_4,133,294
RH_SomMotB_Cent_1,134,771
RH_DorsAttnA_TempOcc_1,135,1196
RH_DorsAttnA_ParOcc_1,136,974
RH_DorsAttnA_SPL_1,137,814
RH_DorsAttnA_SPL_2,138,459
RH_DorsAttnA_SPL_3,139,555
RH_DorsAttnA_SPL_4,140,855
RH_DorsAttnB_PostC_1,141,377
RH_DorsAttnB_PostC_2,142,424
RH_DorsAttnB_PostC_3,143,733
RH_DorsAttnB_PostC_4,144,605
RH_DorsAttnB_FEF_1,145,505
RH_SalVentAttnA_ParOper_1,146,952
RH_SalVentAttnA_PrC_1,147,409
RH_SalVentAttnA_Ins_1,148,367
RH_SalVentAttnA_Ins_2,149,752
RH_SalVentAttnA_FrOper_1,150,890
RH_SalVentAttnA_FrMed_1,151,727
RH_SalVentAttnA_ParMed_1,152,239
RH_SalVentAttnA_ParMed_2,153,587
RH_SalVentAttnA_FrMed_2,154,608
RH_SalVentAttnB_IPL_1,155,433
RH_SalVentAttnB_PFClv_1,156,1022
RH_SalVentAttnB_PFCl_1,157,1027
RH_SalVentAttnB_Ins_1,158,242
RH_SalVentAttnB_Ins_2,159,364
RH_SalVentAttnB_PFCmp_1,160,636
RH_LimbicB_OFC_1,161,854
RH_LimbicB_OFC_2,162,739
RH_LimbicB_OFC_3,163,990
RH_LimbicB_OFC_4,164,793
RH_LimbicA_TempPole_1,165,1144
RH_LimbicA_TempPole_2,166,1136
RH_LimbicA_TempPole_3,167,544
RH_LimbicA_TempPole_4,168,798
RH_ContA_IPS_1,169,756
RH_ContA_IPS_2,170,453
RH_ContA_PFCd_1,171,633
RH_ContA_PFCl_1,172,823
RH_ContA_PFCl_2,173,1085
RH_ContA_Cingm_1,174,210
RH_ContB_Temp_1,175,1134
RH_ContB_Temp_2,176,753
RH_ContB_IPL_1,177,689
RH_ContB_IPL_2,178,410
RH_ContB_PFCld_1,179,448
RH_ContB_PFCld_2,180,1103
RH_ContB_PFClv_1,181,986
RH_ContB_PFClv_2,182,796
RH_ContB_PFCmp_1,183,824
RH_ContB_PFCld_3,184,468
RH_ContC_pCun_1,185,478
RH_ContC_pCun_2,186,570
RH_ContC_Cingp_1,187,340
RH_DefaultA_IPL_1,188,855
RH_DefaultA_PFCd_1,189,537
RH_DefaultA_pCunPCC_1,190,924
RH_DefaultA_PFCm_1,191,591
RH_DefaultA_PFCm_2,192,114
RH_DefaultA_PFCm_3,193,1446
RH_DefaultB_Temp_1,194,476
RH_DefaultB_AntTemp_1,195,1059
RH_DefaultB_PFCd_1,196,933
RH_DefaultB_PFCv_1,197,1043
RH_DefaultC_IPL_1,198,791
RH_DefaultC_Rsp_1,199,484
RH_DefaultC_PHC_1,200,676
RH_TempPar_1,201,712
RH_TempPar_2,202,465
RH_TempPar_3,203,491
RH_TempPar_4,204,392